City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-cartier,50.0334,-66.8654,267.21,85,100,3.14,CA,2023-02-08 01:45:35
1,tuktoyaktuk,69.4541,-133.0374,241.15,75,100,1.54,CA,2023-02-08 01:41:01
2,atuona,-9.8,-139.0333,299.42,74,28,7.37,PF,2023-02-08 01:45:44
3,avarua,-21.2078,-159.775,302.18,74,28,5.14,CK,2023-02-08 01:45:44
4,klaksvik,62.2266,-6.589,281.66,84,100,25.39,FO,2023-02-08 01:43:55
5,lavrentiya,65.5833,-171.0,247.43,92,97,1.24,RU,2023-02-08 01:45:48
6,braganca paulista,-22.94,-46.5556,291.74,98,99,1.56,BR,2023-02-08 01:45:50
7,saint anthony,45.0205,-93.218,272.03,78,0,2.06,US,2023-02-08 01:45:51
8,waverly,42.7392,-84.6208,276.11,78,100,8.23,US,2023-02-08 01:45:52
9,takoradi,4.8845,-1.7554,298.69,87,100,2.06,GH,2023-02-08 01:45:52
10,norman wells,65.282,-126.8329,251.17,71,75,0.0,CA,2023-02-08 01:45:52
11,shestakovo,56.4915,103.96,258.86,97,100,1.63,RU,2023-02-08 01:45:53
12,pizhanka,57.4604,48.542,260.19,92,100,4.89,RU,2023-02-08 01:45:53
13,sechura,-5.5569,-80.8222,297.97,74,99,5.14,PE,2023-02-08 01:42:58
14,pasvalys,56.0594,24.4036,270.07,92,99,4.57,LT,2023-02-08 01:45:53
15,kaitangata,-46.2817,169.8464,288.1,49,11,6.88,NZ,2023-02-08 01:45:54
16,cherskiy,68.75,161.3,239.37,96,100,2.46,RU,2023-02-08 01:43:21
17,cabo san lucas,22.8909,-109.9124,295.32,59,40,2.06,MX,2023-02-08 01:45:54
18,ribeira grande,38.5167,-28.7,286.36,66,9,3.58,PT,2023-02-08 01:45:54
19,hobart,-42.8794,147.3294,290.52,66,75,6.69,AU,2023-02-08 01:45:55
20,provideniya,64.3833,-173.3,254.21,65,100,3.0,RU,2023-02-08 01:45:55
21,kodiak,57.79,-152.4072,271.88,51,0,7.72,US,2023-02-08 01:45:55
22,salalah,17.0151,54.0924,293.2,52,0,1.54,OM,2023-02-08 01:45:56
23,bredasdorp,-34.5322,20.0403,291.69,79,11,3.16,ZA,2023-02-08 01:45:56
24,rikitea,-23.1203,-134.9692,299.8,68,10,4.45,PF,2023-02-08 01:45:56
25,bluff,-46.6,168.3333,288.04,61,62,11.74,NZ,2023-02-08 01:45:56
26,springbok,-29.6643,17.8865,289.42,74,15,1.26,ZA,2023-02-08 01:45:57
27,bethel,41.3712,-73.414,276.45,77,100,1.54,US,2023-02-08 01:45:58
28,paamiut,61.994,-49.6678,254.26,86,76,5.14,GL,2023-02-08 01:45:58
29,georgetown,5.4112,100.3354,300.11,88,20,4.12,MY,2023-02-08 01:42:35
30,severo-kurilsk,50.6789,156.125,269.16,54,12,4.27,RU,2023-02-08 01:45:59
31,corinto,37.9407,22.9573,278.09,82,90,2.13,GR,2023-02-08 01:45:59
32,suntar,62.1444,117.6319,241.55,96,100,1.05,RU,2023-02-08 01:44:46
33,iqaluit,63.7506,-68.5145,240.0,75,75,0.0,CA,2023-02-08 01:41:11
34,alice springs,-23.7,133.8833,306.9,40,0,5.66,AU,2023-02-08 01:45:59
35,pisco,-13.7,-76.2167,297.18,83,0,6.17,PE,2023-02-08 01:46:00
36,beidao,34.5686,105.8933,276.99,78,100,1.62,CN,2023-02-08 01:46:00
37,cidreira,-30.1811,-50.2056,297.35,80,15,6.42,BR,2023-02-08 01:46:00
38,ancud,-41.8697,-73.8203,287.24,94,0,1.62,CL,2023-02-08 01:41:10
39,mataura,-46.1927,168.8643,287.86,65,73,4.79,NZ,2023-02-08 01:46:01
40,pithora,21.2667,82.5167,290.99,37,3,0.9,IN,2023-02-08 01:46:01
41,husavik,66.0449,-17.3389,268.63,70,96,6.11,IS,2023-02-08 01:42:53
42,awbari,26.5921,12.7805,285.84,34,97,5.96,LY,2023-02-08 01:46:04
43,busselton,-33.65,115.3333,297.57,50,0,2.56,AU,2023-02-08 01:46:06
44,eureka,40.8021,-124.1637,286.49,84,98,1.83,US,2023-02-08 01:46:19
45,saint-philippe,-21.3585,55.7679,297.92,83,90,6.32,RE,2023-02-08 01:46:19
46,emirdag,39.0197,31.15,265.35,95,86,2.88,TR,2023-02-08 01:46:20
47,hermanus,-34.4187,19.2345,293.04,83,0,5.29,ZA,2023-02-08 01:46:34
48,ilulissat,69.2167,-51.1,246.16,76,100,2.57,GL,2023-02-08 01:46:34
49,avera,33.194,-82.5271,284.21,57,96,1.67,US,2023-02-08 01:46:34
50,saskylakh,71.9167,114.0833,239.24,100,100,0.32,RU,2023-02-08 01:46:42
51,stanislav,46.5691,32.1478,270.07,64,100,9.93,UA,2023-02-08 01:46:42
52,manicore,-5.8092,-61.3003,297.12,94,0,1.03,BR,2023-02-08 01:46:50
53,cape town,-33.9258,18.4232,294.38,72,0,6.26,ZA,2023-02-08 01:41:35
54,puerto ayora,-0.7393,-90.3518,299.57,92,52,3.13,EC,2023-02-08 01:46:51
55,ushuaia,-54.8,-68.3,282.96,71,20,5.14,AR,2023-02-08 01:46:52
56,lompoc,34.6391,-120.4579,288.16,81,40,3.09,US,2023-02-08 01:46:52
57,huarmey,-10.0681,-78.1522,295.62,83,6,2.67,PE,2023-02-08 01:46:52
58,carnarvon,-24.8667,113.6333,301.95,52,0,7.04,AU,2023-02-08 01:46:53
59,richards bay,-28.783,32.0377,295.65,97,3,1.43,ZA,2023-02-08 01:46:53
60,sirjan,29.452,55.6814,282.0,69,100,4.46,IR,2023-02-08 01:46:53
61,port elizabeth,-33.918,25.5701,293.76,91,40,2.57,ZA,2023-02-08 01:46:54
62,konosha,60.9736,40.257,267.31,90,100,4.1,RU,2023-02-08 01:46:54
63,dikson,73.5069,80.5464,250.78,90,100,9.73,RU,2023-02-08 01:46:54
64,bilibino,68.0546,166.4372,236.71,98,100,1.0,RU,2023-02-08 01:46:55
65,souillac,-20.5167,57.5167,299.36,83,40,4.63,MU,2023-02-08 01:42:35
66,fallon,39.4735,-118.7774,280.08,54,75,2.06,US,2023-02-08 01:46:55
67,tiksi,71.6872,128.8694,237.04,99,100,2.49,RU,2023-02-08 01:46:55
68,vaini,-21.2,-175.2,301.24,89,75,3.09,TO,2023-02-08 01:46:56
69,albany,42.6001,-73.9662,274.51,80,100,0.89,US,2023-02-08 01:45:15
70,tuatapere,-46.1333,167.6833,286.63,58,67,6.89,NZ,2023-02-08 01:46:56
71,xingyi,24.1877,102.817,287.17,42,0,3.14,CN,2023-02-08 01:46:56
72,smithers,54.7804,-127.1743,269.33,100,75,1.03,CA,2023-02-08 01:46:57
73,rawson,-43.3002,-65.1023,291.8,60,3,2.85,AR,2023-02-08 01:46:57
74,airai,-8.9266,125.4092,294.28,78,77,1.4,TL,2023-02-08 01:44:29
75,yulara,-25.2406,130.9889,308.73,18,0,3.01,AU,2023-02-08 01:46:57
76,dingle,10.9995,122.6711,299.79,78,100,5.64,PH,2023-02-08 01:46:57
77,faanui,-16.4833,-151.75,300.43,73,24,5.43,PF,2023-02-08 01:46:58
78,nemuro,43.3236,145.575,269.9,59,35,1.97,JP,2023-02-08 01:46:58
79,saint george,37.1041,-113.5841,282.83,40,0,4.12,US,2023-02-08 01:46:58
80,thompson,55.7435,-97.8558,257.24,85,100,1.54,CA,2023-02-08 01:44:45
81,los llanos de aridane,28.6585,-17.9182,285.01,67,0,2.57,ES,2023-02-08 01:44:47
82,tanout,14.9709,8.8879,290.98,21,87,4.67,NE,2023-02-08 01:46:59
83,umm lajj,25.0213,37.2685,289.42,57,93,4.29,SA,2023-02-08 01:46:59
84,jamestown,42.097,-79.2353,280.95,70,75,7.2,US,2023-02-08 01:44:21
85,ternate,0.8,127.4,298.07,91,100,4.78,ID,2023-02-08 01:46:59
86,yellowknife,62.456,-114.3525,253.44,77,75,2.57,CA,2023-02-08 01:44:53
87,butaritari,3.0707,172.7902,300.34,81,100,9.8,KI,2023-02-08 01:47:00
88,aljezur,37.3191,-8.8033,282.19,89,3,2.61,PT,2023-02-08 01:47:00
89,sola,-13.8833,167.55,300.87,77,94,6.54,VU,2023-02-08 01:47:01
90,hilo,19.7297,-155.09,298.31,90,100,6.69,US,2023-02-08 01:46:43
91,mar del plata,-38.0023,-57.5575,296.53,93,40,8.94,AR,2023-02-08 01:47:01
92,te anau,-45.4167,167.7167,287.54,46,50,5.28,NZ,2023-02-08 01:47:02
93,tasiilaq,65.6145,-37.6368,256.24,37,0,12.66,GL,2023-02-08 01:47:03
94,waingapu,-9.6567,120.2641,302.07,73,46,5.02,ID,2023-02-08 01:47:04
95,beloha,-25.1667,45.05,296.24,79,100,3.44,MG,2023-02-08 01:47:07
96,victoria,22.2855,114.1577,292.18,87,97,5.81,HK,2023-02-08 01:42:18
97,kaoma,-14.7833,24.8,290.01,99,98,1.82,ZM,2023-02-08 01:47:14
98,bengkulu,-3.8004,102.2655,300.46,63,74,2.39,ID,2023-02-08 01:42:49
99,punta arenas,-53.15,-70.9167,285.21,76,0,4.12,CL,2023-02-08 01:45:07
100,wanaka,-44.7,169.15,293.21,31,96,4.47,NZ,2023-02-08 01:47:30
101,burns lake,54.2331,-125.7533,269.83,97,97,0.9,CA,2023-02-08 01:47:32
102,lagoa,39.05,-27.9833,286.33,56,100,6.4,PT,2023-02-08 01:47:32
103,svilengrad,41.7667,26.2,271.01,65,89,2.4,BG,2023-02-08 01:47:33
104,hambantota,6.1241,81.1185,296.34,100,20,2.57,LK,2023-02-08 01:47:33
105,pangnirtung,66.1451,-65.7125,239.38,84,6,2.35,CA,2023-02-08 01:47:34
106,chuy,-33.6971,-53.4616,294.65,80,27,3.3,UY,2023-02-08 01:47:34
107,buritizeiro,-17.3511,-44.9622,296.27,79,99,0.9,BR,2023-02-08 01:47:34
108,lundazi,-12.2929,33.1782,290.6,96,100,2.47,ZM,2023-02-08 01:47:40
109,castro,-24.7911,-50.0119,289.92,93,62,2.36,BR,2023-02-08 01:47:40
110,port macquarie,-31.4333,152.9167,298.65,62,85,2.75,AU,2023-02-08 01:43:04
111,alta floresta,-9.8756,-56.0861,295.03,97,99,0.94,BR,2023-02-08 01:47:47
112,new norfolk,-42.7826,147.0587,290.33,33,6,1.45,AU,2023-02-08 01:47:49
113,tiznit,29.5833,-9.5,280.51,91,0,0.83,MA,2023-02-08 01:47:51
114,torbay,47.6666,-52.7314,269.58,86,75,9.77,CA,2023-02-08 01:45:47
115,lebu,-37.6167,-73.65,288.12,88,0,7.74,CL,2023-02-08 01:47:52
116,inverell,-29.7833,151.1167,303.77,50,74,1.34,AU,2023-02-08 01:47:52
117,lorengau,-2.0226,147.2712,298.65,95,100,6.99,PG,2023-02-08 01:47:53
118,afsin,38.2477,36.914,263.94,83,100,0.97,TR,2023-02-08 01:47:53
119,sinnamary,5.3833,-52.95,297.18,91,65,4.34,GF,2023-02-08 01:47:53
120,anchorage,61.2181,-149.9003,270.75,87,100,1.54,US,2023-02-08 01:44:27
121,barrow,71.2906,-156.7887,255.16,78,100,3.6,US,2023-02-08 01:47:54
122,tilichiki,60.4667,166.1,244.75,90,72,4.5,RU,2023-02-08 01:47:54
123,kalangala,-0.3089,32.225,292.79,64,99,2.34,UG,2023-02-08 01:47:55
124,ketchikan,55.3422,-131.6461,277.41,81,100,2.06,US,2023-02-08 01:47:55
125,porbandar,21.6422,69.6093,293.7,59,22,4.1,IN,2023-02-08 01:47:55
126,qaanaaq,77.484,-69.3632,241.37,67,4,2.79,GL,2023-02-08 01:47:56
127,flinders,-34.5833,150.8552,295.47,90,100,1.79,AU,2023-02-08 01:47:56
128,balgazyn,51.0,95.2,248.7,99,57,0.54,RU,2023-02-08 01:47:56
129,pitea,65.3172,21.4794,271.2,78,100,4.03,SE,2023-02-08 01:47:57
130,kahului,20.8947,-156.47,300.16,71,40,9.26,US,2023-02-08 01:47:57
131,longyearbyen,78.2186,15.6401,268.06,80,75,8.23,SJ,2023-02-08 01:47:57
132,srednekolymsk,67.45,153.6833,240.25,96,100,2.39,RU,2023-02-08 01:47:57
133,khatanga,71.9667,102.5,228.97,100,64,1.26,RU,2023-02-08 01:44:32
134,viedma,-40.8135,-62.9967,292.55,64,11,3.86,AR,2023-02-08 01:47:58
135,panaba,21.2833,-88.2667,296.41,77,0,4.42,MX,2023-02-08 01:47:58
136,ozinki,51.1786,49.6769,257.45,96,29,4.87,RU,2023-02-08 01:47:58
137,sitka,57.0531,-135.33,277.09,75,20,1.54,US,2023-02-08 01:47:59
138,mayo,38.8876,-76.5119,282.18,80,0,4.12,US,2023-02-08 01:47:59
139,san policarpo,12.1791,125.5072,300.53,74,100,6.6,PH,2023-02-08 01:47:59
140,berbera,10.4396,45.0143,297.12,81,11,1.6,SO,2023-02-08 01:48:00
141,shache,38.4167,77.2406,270.73,66,0,2.28,CN,2023-02-08 01:48:00
142,palakkad,10.7833,76.65,294.75,66,37,2.55,IN,2023-02-08 01:48:00
143,upernavik,72.7868,-56.1549,243.06,96,48,1.79,GL,2023-02-08 01:48:01
144,bonanza,14.0289,-84.591,293.1,99,31,0.83,NI,2023-02-08 01:48:01
145,liverpool,53.4106,-2.9779,279.16,86,100,2.06,GB,2023-02-08 01:45:46
146,taoudenni,22.6783,-3.9836,290.79,20,100,5.11,ML,2023-02-08 01:48:02
147,antsohihy,-14.8796,47.9875,295.49,98,88,0.64,MG,2023-02-08 01:48:05
148,saint-francois,46.4154,3.9054,267.97,93,1,0.0,FR,2023-02-08 01:48:06
149,mahebourg,-20.4081,57.7,299.31,83,40,4.63,MU,2023-02-08 01:48:07
150,cap-aux-meules,47.3821,-61.8597,268.18,63,0,4.12,CA,2023-02-08 01:48:07
151,port alfred,-33.5906,26.891,293.81,89,100,1.79,ZA,2023-02-08 01:48:11
152,makakilo city,21.3469,-158.0858,299.33,65,100,9.26,US,2023-02-08 01:45:06
153,codajas,-3.8367,-62.0569,296.32,99,100,1.38,BR,2023-02-08 01:48:14
154,hasaki,35.7333,140.8333,284.42,68,100,9.42,JP,2023-02-08 01:46:02
155,belmonte,-15.8631,-38.8828,298.55,78,6,3.75,BR,2023-02-08 01:48:15
156,east london,-33.0153,27.9116,294.64,84,100,5.18,ZA,2023-02-08 01:48:19
157,poya,-21.35,165.15,301.78,76,100,0.63,NC,2023-02-08 01:48:23
158,svirstroy,60.7999,33.7248,269.36,93,100,4.59,RU,2023-02-08 01:48:23
159,kapaa,22.0752,-159.319,299.33,88,100,6.17,US,2023-02-08 01:48:24
160,calamar,10.2511,-74.9146,299.0,74,5,2.41,CO,2023-02-08 01:48:25
161,nikolskoye,59.7035,30.7861,272.09,86,100,4.5,RU,2023-02-08 01:48:26
162,puerto carreno,6.189,-67.4859,301.12,52,10,2.61,CO,2023-02-08 01:48:30
163,cayenne,4.9333,-52.3333,298.17,88,75,1.54,GF,2023-02-08 01:45:41
164,kabanga,-2.6386,30.4678,286.39,94,45,0.45,TZ,2023-02-08 01:48:33
165,platanos,37.6667,21.6167,278.2,66,59,2.66,GR,2023-02-08 01:48:34
166,luderitz,-26.6481,15.1594,291.62,83,27,8.47,NA,2023-02-08 01:48:35
167,mizan teferi,6.9833,35.5833,290.68,49,7,1.06,ET,2023-02-08 01:48:39
168,geraldton,-28.7667,114.6,300.38,54,0,3.6,AU,2023-02-08 01:48:43
169,shubarshi,48.5872,57.1869,260.14,88,97,6.38,KZ,2023-02-08 01:48:43
170,san patricio,28.017,-97.5169,296.2,80,94,6.22,US,2023-02-08 01:48:44
171,kearney,40.6995,-99.0815,275.46,76,0,3.09,US,2023-02-08 01:48:44
172,larkollen,59.3339,10.6656,275.18,98,100,2.06,NO,2023-02-08 01:48:44
173,adrar,20.5022,-10.0711,288.69,23,100,4.91,MR,2023-02-08 01:48:48
174,shieli,44.1667,66.75,273.5,76,100,3.03,KZ,2023-02-08 01:48:49
175,mackenzie,55.2999,-123.1698,270.27,74,100,1.54,CA,2023-02-08 01:45:46
176,axim,4.8699,-2.2405,298.39,87,100,1.44,GH,2023-02-08 01:48:49
177,hami,42.8,93.45,274.25,62,100,0.99,CN,2023-02-08 01:48:50
178,hobyo,5.3505,48.5268,298.21,69,97,6.88,SO,2023-02-08 01:48:50
179,arraial do cabo,-22.9661,-42.0278,297.13,91,100,1.96,BR,2023-02-08 01:48:51
180,jimenez,28.3333,-105.4,288.02,25,53,4.01,MX,2023-02-08 01:48:51
181,kovdor,67.5662,30.4758,268.19,87,51,2.8,RU,2023-02-08 01:48:51
182,trairi,-3.2778,-39.2689,298.41,81,100,3.33,BR,2023-02-08 01:47:24
183,roald,62.5833,6.1333,280.66,57,76,9.77,NO,2023-02-08 01:47:01
184,bulgan,48.8125,103.5347,256.02,91,8,1.41,MN,2023-02-08 01:48:52
185,altay,47.8667,88.1167,264.53,72,100,1.89,CN,2023-02-08 01:48:52
186,coihaique,-45.5752,-72.0662,290.12,67,75,1.03,CL,2023-02-08 01:48:52
187,zhangjiakou,40.81,114.8794,268.89,51,33,1.28,CN,2023-02-08 01:48:53
188,fort nelson,58.8053,-122.7002,263.92,86,20,1.03,CA,2023-02-08 01:48:53
189,honningsvag,70.9821,25.9704,276.01,60,20,14.4,NO,2023-02-08 01:48:54
190,hithadhoo,-0.6,73.0833,300.45,72,13,3.58,MV,2023-02-08 01:48:54
191,san rafael,-34.6177,-68.3301,300.99,32,25,3.31,AR,2023-02-08 01:45:27
192,puerto madryn,-42.7692,-65.0385,292.98,51,0,3.74,AR,2023-02-08 01:44:47
193,port hardy,50.6996,-127.4199,277.25,93,75,2.57,CA,2023-02-08 01:48:54
194,tabou,4.423,-7.3528,299.1,86,100,2.71,CI,2023-02-08 01:48:55
195,asau,46.4333,26.4,267.66,97,97,1.97,RO,2023-02-08 01:48:55
196,saquarema,-22.92,-42.5103,296.9,93,100,1.13,BR,2023-02-08 01:48:55
197,xichang,27.8964,102.2634,282.77,61,1,0.94,CN,2023-02-08 01:48:56
198,nabire,-3.3667,135.4833,298.36,86,100,1.21,ID,2023-02-08 01:48:56
199,presidencia roque saenz pena,-26.7852,-60.4388,301.82,35,35,1.23,AR,2023-02-08 01:48:56
200,daru,-9.0763,143.2092,302.42,70,99,5.17,PG,2023-02-08 01:48:56
201,wanning,18.8003,110.3967,297.81,81,24,3.51,CN,2023-02-08 01:48:57
202,thinadhoo,0.5333,72.9333,300.24,73,41,2.93,MV,2023-02-08 01:48:57
203,nanortalik,60.1432,-45.2371,257.96,73,10,8.85,GL,2023-02-08 01:48:57
204,ugoofaaru,5.6667,73.0,300.07,67,16,2.9,MV,2023-02-08 01:48:58
205,hofn,64.2539,-15.2082,272.96,71,100,8.21,IS,2023-02-08 01:48:58
206,west wendover,40.7391,-114.0733,274.71,69,0,2.06,US,2023-02-08 01:48:58
207,krasnoselkup,65.7,82.4667,243.97,100,100,3.19,RU,2023-02-08 01:48:58
208,havoysund,70.9963,24.6622,276.28,73,22,12.95,NO,2023-02-08 01:48:59
209,sumbe,-11.2061,13.8437,296.66,81,100,2.94,AO,2023-02-08 01:48:59
210,sobolevo,54.4299,31.8996,257.71,99,64,1.59,RU,2023-02-08 01:48:59
211,eidfjord,60.4675,7.0719,277.58,99,99,2.19,NO,2023-02-08 01:49:00
212,mayor pablo lagerenza,-19.9309,-60.7718,297.4,81,100,2.03,PY,2023-02-08 01:49:00
213,coolum beach,-26.5333,153.1,302.1,70,76,6.56,AU,2023-02-08 01:49:01
214,bom jesus da lapa,-13.255,-43.4181,295.6,57,11,0.76,BR,2023-02-08 01:49:01
215,miri,4.4148,114.0089,299.23,83,20,1.54,MY,2023-02-08 01:49:01
216,mount gambier,-37.8333,140.7667,295.63,44,18,4.76,AU,2023-02-08 01:47:06
217,itoman,26.1247,127.6694,295.36,68,20,7.2,JP,2023-02-08 01:49:08
218,faya,18.3851,42.4509,284.21,61,4,1.26,SA,2023-02-08 01:49:13
219,west helena,34.5507,-90.6418,289.01,85,91,0.91,US,2023-02-08 01:49:19
220,fortuna,40.5982,-124.1573,286.34,79,0,0.0,US,2023-02-08 01:49:30
221,touros,-5.1989,-35.4608,298.97,72,100,5.36,BR,2023-02-08 01:44:51
222,mangrol,21.1167,70.1167,293.36,58,12,3.27,IN,2023-02-08 01:49:37
223,parrita,9.5201,-84.3225,298.87,77,100,0.71,CR,2023-02-08 01:49:39
224,anadyr,64.75,177.4833,241.48,74,20,6.0,RU,2023-02-08 01:49:48
225,nargana,9.4428,-78.5906,299.09,84,87,7.66,PA,2023-02-08 01:49:51
226,salumbar,24.1333,74.05,288.19,30,2,1.97,IN,2023-02-08 01:49:52
227,rabo de peixe,37.8,-25.5833,285.88,82,40,5.66,PT,2023-02-08 01:49:52
228,werder,52.3787,12.934,272.62,63,81,1.9,DE,2023-02-08 01:49:52
229,hojai,26.0,92.8667,289.32,62,48,1.12,IN,2023-02-08 01:49:53
230,marsa matruh,31.3525,27.2453,281.26,87,75,2.57,EG,2023-02-08 01:49:53
231,jieshi,22.8134,115.8257,291.84,77,35,10.26,CN,2023-02-08 01:49:53
232,vestmannaeyjar,63.4427,-20.2734,273.48,57,100,16.36,IS,2023-02-08 01:45:00
233,sao joao de pirabas,-0.7747,-47.1772,297.89,90,100,2.32,BR,2023-02-08 01:49:54
234,sala,34.0389,-6.8166,285.53,87,40,4.12,MA,2023-02-08 01:49:54
235,kichera,55.9375,110.0997,256.37,84,67,1.12,RU,2023-02-08 01:49:54
236,mizdah,31.4451,12.9801,280.56,73,86,8.4,LY,2023-02-08 01:49:55
237,chunoyar,57.4467,97.3217,261.67,97,100,1.39,RU,2023-02-08 01:49:55
238,mogadishu,2.0371,45.3438,297.53,85,10,7.23,SO,2023-02-08 01:49:55
239,lensk,60.7253,114.9278,250.34,97,100,1.46,RU,2023-02-08 01:49:56
240,lazi,48.0667,24.2333,264.89,95,36,2.37,UA,2023-02-08 01:49:56
241,road town,18.4167,-64.6167,298.2,88,40,4.63,VG,2023-02-08 01:49:56
242,mabaruma,8.2,-59.7833,295.04,99,18,0.94,GY,2023-02-08 01:49:56
243,poddorye,57.4695,31.1156,270.23,89,100,4.0,RU,2023-02-08 01:49:57
244,broome,42.2506,-75.833,277.29,75,100,4.92,US,2023-02-08 01:49:57
245,palmer,42.1584,-72.3287,274.4,76,100,2.57,US,2023-02-08 01:49:57
246,kerman,30.2832,57.0788,285.07,50,75,7.2,IR,2023-02-08 01:49:58
247,ialibu,-6.2821,143.9935,293.84,71,89,1.67,PG,2023-02-08 01:49:58
248,sehithwa,-20.4667,22.7167,292.36,94,100,5.23,BW,2023-02-08 01:49:58
249,bowmore,34.9421,-79.3031,286.33,67,0,1.54,US,2023-02-08 01:49:58
250,baykit,61.67,96.37,257.66,98,100,0.85,RU,2023-02-08 01:49:59
251,avanigadda,16.0215,80.9181,294.86,81,100,1.45,IN,2023-02-08 01:49:59
252,ocna mures,46.3833,23.85,266.51,95,31,0.8,RO,2023-02-08 01:49:59
253,ostrovnoy,68.0531,39.5131,272.86,75,3,11.13,RU,2023-02-08 01:50:00
254,cabedelo,-6.9811,-34.8339,298.52,73,99,3.95,BR,2023-02-08 01:50:00
255,ixtapa,20.7,-105.2,295.72,73,0,4.12,MX,2023-02-08 01:48:26
256,aspe,38.3451,-0.7672,281.98,74,100,2.68,ES,2023-02-08 01:50:01
257,khuzhir,53.1939,107.3397,260.18,89,100,1.87,RU,2023-02-08 01:50:01
258,kachiry,53.0675,76.1036,253.32,100,99,1.31,KZ,2023-02-08 01:50:07
259,boa vista,2.8197,-60.6733,301.14,65,75,5.14,BR,2023-02-08 01:48:21
260,west bay,19.3667,-81.4167,300.19,81,20,6.69,KY,2023-02-08 01:50:22
261,kaeo,-35.1,173.7833,297.24,50,27,3.04,NZ,2023-02-08 01:45:52
262,salta,-24.7859,-65.4117,295.69,71,0,1.03,AR,2023-02-08 01:48:16
263,ushtobe,45.2514,77.9838,267.23,92,83,3.58,KZ,2023-02-08 01:50:27
264,cockburn town,21.4612,-71.1419,298.65,74,0,10.39,TC,2023-02-08 01:50:38
265,arys,42.4252,68.795,275.71,55,100,2.05,KZ,2023-02-08 01:50:39
266,rio gallegos,-51.6226,-69.2181,287.18,77,0,9.77,AR,2023-02-08 01:50:39
267,along,28.1667,94.7667,285.54,93,100,0.83,IN,2023-02-08 01:50:49
268,yichang,30.7144,111.2847,282.75,88,100,0.12,CN,2023-02-08 01:50:53
269,fukue,32.6881,128.8419,286.35,58,40,6.69,JP,2023-02-08 01:50:55
